jarvis_id,dimensionality,formula,elements,n_elements,gap_selected_eV,gap_method_selected,cutoff_wavelength_um_from_gap,cutoff_region,optb88vdw_bandgap_eV,mbj_bandgap_eV,hse_bandgap_eV,formation_energy_eV_per_atom,energy_above_hull_eV_per_atom,density_g_cm3,space_group_number,space_group_symbol,crystal_system,dielectric_x,dielectric_y,dielectric_z,dielectric_mean,avg_electron_mass_m0,avg_hole_mass_m0,bulk_modulus_GPa,shear_modulus_GPa,exfoliation_energy_meV_per_atom,max_IR_mode_cm-1,min_IR_mode_cm-1,spillage,icsd_ids,jarvis_url,source_dataset_doi,source_archive,source_type,evidence_scope,candidate_warning
JVASP-184767,3D,RbPS2,P;Rb;S,3,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-0.45428,1.3411,2.878,99,P4mm,tetragonal,41.0315,41.0315,6.7441,29.60236666666667,,,31.04,6.35,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-184767,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-134282,3D,ScBrO,Br;O;Sc,3,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-2.17102,0.7345,3.894,25,Pmm2,orthorhombic,4.9418,5.9912,5.2127,5.381899999999999,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-134282,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-28947,3D,TeMoWSe2S,Mo;S;Se;Te;W,5,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-0.51973,3.5277,5.383,156,P3m1,trigonal,13.0558,13.0558,7.4235,11.178366666666667,,,,,,0.15,0.0,0.105,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-28947,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-164118,3D,Tm8Ga3Co,Co;Ga;Tm,3,0.154,OptB88vdW,8.050922,LWIR (8-15 um),0.154,,,-0.45654,1.2594,9.512,186,P6_3mc,hexagonal,,,,,,,,,,,,,"623219,20942",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-164118,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-9126,3D,As2Pt,As;Pt,2,0.153,TBmBJ,8.103542,LWIR (8-15 um),0.068,0.153,,-0.48214,1.9873,10.226,205,Pa-3,cubic,29.1246,29.1246,29.1246,29.1246,0.0,0.0,135.77,86.2,,,,0.273,"43104,24156,611228,24203,56021,52375,38428,611230",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-9126,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-11010,3D,CaMn2O4,Ca;Mn;O,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-2.15164,2.5741,4.344,12,C2/m,monoclinic,197.0857,89.2257,75.3476,120.553,0.0033333333333333335,0.0033333333333333335,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-11010,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-106834,3D,Cd5Te4S,Cd;S;Te,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-0.44021,0.0,5.436,160,R3m,trigonal,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-106834,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-81908,3D,CdCuPd2,Cd;Cu;Pd,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,1.95745,0.7406,0.748,71,Immm,orthorhombic,7.1451,1.4537,3.351,3.9832666666666667,,,,,,,,0.066,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-81908,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-140681,3D,K2PdO4,K;O;Pd,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-0.76758,1.431,3.485,14,P2_1/c,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-140681,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-152745,3D,K3FeO3,Fe;K;O,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-1.57754,1.0599,2.949,12,C2/m,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-152745,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-153055,3D,K3FeO3,Fe;K;O,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-1.57752,1.0599,2.949,12,C2/m,monoclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-153055,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-119382,3D,LiMn2P2O10,Li;Mn;O;P,4,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-2.02147,3.1136,3.565,1,P1,triclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-119382,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-28925,3D,TeMoWSeS2,Mo;S;Se;Te;W,5,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-0.54962,3.616,5.581,156,P3m1,trigonal,14.1524,14.1524,8.1119,12.1389,,,36.86,25.35,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-28925,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-140724,3D,Ti2O3,O;Ti,2,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-3.13261,2.544,5.223,62,Pnma,orthorhombic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-140724,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-167847,3D,ZnCoF5,Co;F;Zn,3,0.153,OptB88vdW,8.103542,LWIR (8-15 um),0.153,,,-2.06315,0.0,4.48,2,P-1,triclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-167847,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-165465,3D,Ba3GeI2,Ba;Ge;I,3,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-1.29649,0.0,4.693,70,Fddd,orthorhombic,,,,,,,,,,,,,91133,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-165465,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-5260,3D,Bi2TeI,Bi;I;Te,3,0.152,TBmBJ,8.156855,LWIR (8-15 um),0.011,0.152,,-0.2578,0.533,7.203,166,R-3m,trigonal,34.5849,34.6194,25.5998,31.601366666666664,,,23.64,12.51,43.94,139.7,16.84,3.451,"153858,250330",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-5260,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-94324,3D,CeSe2,Ce;Se,2,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-1.37349,1.01,5.483,194,P6_3/mmc,hexagonal,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-94324,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-146055,3D,Cr4CdCoS8,Cd;Co;Cr;S,4,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-0.70045,3.1008,4.165,216,F-43m,cubic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-146055,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-163337,3D,Hg5Cl2O4,Cl;Hg;O,3,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-0.33951,0.5699,8.694,72,Ibam,orthorhombic,,,,,,,,,,,,,"24593,75935",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-163337,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-10244,3D,K2CuF4,Cu;F;K,3,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-2.45834,0.0,3.365,64,Cmce,orthorhombic,23.6912,35.731,7.1578,22.19333333333333,0.016666666666666666,0.016666666666666666,47.54,19.47,,,,,"38426,174116",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-10244,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-153824,3D,K2H4OsO6,H;K;O;Os,4,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-1.08189,2.6449,4.493,139,I4/mmm,tetragonal,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-153824,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-155418,3D,KVAg2S4,Ag;K;S;V,4,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-0.7138,1.4342,3.875,121,I-42m,tetragonal,30.5933,15.4842,15.4829,20.520133333333334,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-155418,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-46191,3D,Li2FeBO4,B;Fe;Li;O,4,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-2.05362,2.5007,3.136,12,C2/m,monoclinic,26.8207,98.8895,10.1268,45.278999999999996,0.0,0.0,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-46191,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-113210,3D,LiMn2P2O8,Li;Mn;O;P,4,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-2.08425,3.091,3.017,5,C2,monoclinic,3.9208,3.9069,1.8663,3.2313333333333336,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-113210,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-176445,3D,MnCo2TeO6,Co;Mn;O;Te,4,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-1.05381,3.0309,5.619,1,P1,triclinic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-176445,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-12630,3D,NaFeO2,Fe;Na;O,3,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-1.50814,1.5065,3.309,33,Pna2_1,orthorhombic,102.9036,154.3058,94.0094,117.07293333333332,0.0,0.0,,,,,,,"33763,33764,33765,33766,33767,33770,33771,33772,27117,68984,158330,27804",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-12630,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-61821,3D,PrAs2,As;Pr,2,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,-1.02464,1.5306,6.51,14,P2_1/c,monoclinic,22.1772,25.0305,20.2819,22.496533333333332,0.0,0.0,68.56,43.09,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-61821,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-115783,3D,TiC,C;Ti,2,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,5.11884,5.8407,0.171,99,P4mm,tetragonal,1.4682,1.4682,2.8318,1.9227333333333334,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-115783,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-118138,3D,ZnAgO,Ag;O;Zn,3,0.152,OptB88vdW,8.156855,LWIR (8-15 um),0.152,,,1.25795,0.5852,1.637,6,Pm,monoclinic,5.8633,3.3572,2.201,3.807166666666667,,,-4.26,-4.53,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-118138,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-66571,3D,BaIrBr,Ba;Br;Ir,3,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,0.1233,1.3121,5.891,216,F-43m,cubic,80.4834,80.4834,80.4834,80.4834,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-66571,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-36494,3D,Ca3BiAs,As;Bi;Ca,3,0.151,TBmBJ,8.210874,LWIR (8-15 um),0.0,0.151,,-0.34834,0.338,3.444,221,Pm-3m,cubic,19.1101,19.1101,19.1101,19.1101,0.0,0.0,28.4,19.26,,,,0.636,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-36494,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-163472,3D,CuAsF7,As;Cu;F,3,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,-1.92267,0.0,3.769,74,Imma,orthorhombic,,,,,,,,,,,,,413972,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-163472,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-170112,3D,Fe3Sb2Br4O4,Br;Fe;O;Sb,4,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,-0.94269,2.0846,4.716,64,Cmce,orthorhombic,,,,,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-170112,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-103079,3D,LiDySe2,Dy;Li;Se,3,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,-1.69824,0.7949,5.926,123,P4/mmm,tetragonal,7.7033,7.7033,8.709,8.038533333333334,,,63.64,41.01,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-103079,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-42269,3D,LiFeF3,F;Fe;Li,3,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,-2.4027,0.304,3.204,15,C2/c,monoclinic,5.8105,12.7505,16.9413,11.8341,0.08333333333333333,0.08333333333333333,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-42269,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-176171,3D,Lu2CoTe2S2O14,Co;Lu;O;S;Te,5,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,-1.95812,2.6421,5.514,2,P-1,triclinic,,,,,,,57.89,33.17,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-176171,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-57862,3D,Sm3RuO7,O;Ru;Sm,3,0.151,OptB88vdW,8.210874,LWIR (8-15 um),0.151,,,-2.92358,2.5895,7.428,63,Cmcm,orthorhombic,27.28,29.0634,62.7572,39.7002,,,,,,,,,"170273,93667",https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-57862,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
JVASP-101527,3D,TaRhO4,O;Rh;Ta,3,0.151,TBmBJ,8.210874,LWIR (8-15 um),0.0,0.151,,-2.10705,3.2078,8.473,65,Cmmm,orthorhombic,8.9181,8.9448,10.9621,9.608333333333334,,,,,,,,,,https://jarvis.nist.gov/jarvisdft/dft_3d/JVASP-101527,10.6084/m9.figshare.6815699.v11,jdft_3d-9-24-2025.json,DFT database,computed material properties; no detector-device validation implied,"Gap-derived spectral screening only. Verify direct/indirect gap, optical absorption, defects, stability, toxicity, growth feasibility, and experimental detector metrics."
